name,id,primary_function
Bala-Tik,00000000-0000-0000-0000-000000000001,Function of Bala-Tik
BB-8,00000000-0000-0000-0000-000000000002,Function of BB-8
C-3PO,00000000-0000-0000-0000-000000000003,Function of C-3PO
EV-9D9,00000000-0000-0000-0000-000000000004,Function of EV-9D9
Huit-D-Huit ou 8D8,00000000-0000-0000-0000-000000000005,Function of Huit-D-Huit ou 8D8
IG-88,00000000-0000-0000-0000-000000000006,Function of IG-88
Qui-Gon Jinn,00000000-0000-0000-0000-000000000007,Function of Qui-Gon Jinn
Obi-Wan Kenobi,00000000-0000-0000-0000-000000000008,Function of Obi-Wan Kenobi
Ki-Adi-Mundi,00000000-0000-0000-0000-000000000009,Function of Ki-Adi-Mundi
ME-8D9,00000000-0000-0000-0000-000000000010,Function of ME-8D9
OOM-9,00000000-0000-0000-0000-000000000011,Function of OOM-9
PZ-4CO,00000000-0000-0000-0000-000000000012,Function of PZ-4CO
Razoo Qin-Fee,00000000-0000-0000-0000-000000000013,Function of Razoo Qin-Fee
Quatre-LOM ou 4-LOM,00000000-0000-0000-0000-000000000014,Function of Quatre-LOM ou 4-LOM
R2-D2,00000000-0000-0000-0000-000000000015,Function of R2-D2
R4-G9 et R4-P17,00000000-0000-0000-0000-000000000016,Function of R4-G9 et R4-P17
R5-D4,00000000-0000-0000-0000-000000000017,Function of R5-D4
Ree-Yees,00000000-0000-0000-0000-000000000018,Function of Ree-Yees
Saelt-Marae,00000000-0000-0000-0000-000000000019,Function of Saelt-Marae
