name,id,home_planet,best_friend_id,first_episode
Ask Aak,1,Malastare,null,JEDI
Amiral Gial Ackbar,2,,1,NEWHOPE
Stass Allie,3,,2,EMPIRE
Mas Amedda,4,,3,JEDI
Padm� Amidala,5,,4,NEWHOPE
Nom Anor,6,,5,EMPIRE
Capitaine Raymus Antilles,7,,6,JEDI
Wedge Antilles,8,,7,NEWHOPE
Reine Apailana,9,Naboo,8,EMPIRE
Passel Argente,10,,9,JEDI
Ello Asty,11,,10,NEWHOPE
Ponda Baba,12,,11,EMPIRE
Hermione Bagwa,13,,12,JEDI
Dark Bane,14,,13,NEWHOPE
Kirster Banai,15,,14,EMPIRE
Barada,16,,15,JEDI
Sio Bibble,17,,16,NEWHOPE
Depa Billaba,18,,17,EMPIRE
Jar Jar Binks,19,,18,JEDI
Walex Blissex,20,,19,NEWHOPE
Bobbajo,21,Jakku,20,EMPIRE
Bossk,22,,21,JEDI
Major Taslin Brance,23,,22,NEWHOPE
Ezra Bridger,24,,23,EMPIRE
Lando Calrissian,25,Ando,24,JEDI
Joruus C'Baoth,26,,25,NEWHOPE
Chewbacca,27,Kashyyyk,26,EMPIRE
Chef Chirpa,28,,27,JEDI
G�n�ral Airen Cracken,29,Ando,28,NEWHOPE
Salacious Crumb,30,,29,EMPIRE
Yarna D'Al'Gargan,31,,30,JEDI
Figrin D'An,32,Tatooine,31,NEWHOPE
Poe Dameron,33,,32,EMPIRE
Vober Dand,34,D'Qar,33,JEDI
Biggs Darklighter,35,,34,NEWHOPE
Lexi Dio,36,,35,EMPIRE
Lott Dod,37,,36,JEDI
G�n�ral Jan Dodonna,38,,37,NEWHOPE
Daultay Dofine,39,,38,EMPIRE
Comte Dooku,40,,39,JEDI
Cin Drallig,41,,40,NEWHOPE
Kyp Durron,42,,41,EMPIRE
Hugo EckenerNote 4,43,Naboo,42,JEDI
Major Caluan Ematt,44,,43,NEWHOPE
Docteur Cornelius Evazan,45,,44,EMPIRE
Sun Fac,46,,45,JEDI
Soontir Fel,47,,46,NEWHOPE
Boba Fett,48,,47,EMPIRE
Jango Fett,49,,48,JEDI
Borsk Fey'lya,50,,49,NEWHOPE
Finn,51,,50,EMPIRE
Kit Fisto,52,,51,JEDI
Fode et Beed,53,Tatooine,52,NEWHOPE
Bib Fortuna,54,,53,EMPIRE
Silver Fyre,55,,54,JEDI
Adi Gallia,56,,55,NEWHOPE
Garindan,57,,56,EMPIRE
Gragra,58,,57,JEDI
Greeata,59,Tatooine,58,NEWHOPE
Greedo,60,,59,EMPIRE
G�n�ral Grievous,61,,60,JEDI
Grummgar,62,,61,NEWHOPE
Nute Gunray,63,,62,EMPIRE
Guri,64,,63,JEDI
Rune Haako,65,,64,NEWHOPE
San Hill,66,,65,EMPIRE
Corran Horn,67,,66,JEDI
G�n�ral Armitage Hux,68,,67,NEWHOPE
L'Inquisiteur,69,,68,EMPIRE
Ysanne Isard,70,,69,JEDI
Prince Isolder,71,,70,NEWHOPE
Capitaine Sidon Ithano,72,,71,EMPIRE
J'Quille,73,,72,JEDI
Jabba le Hutt,74,Tatooine,73,NEWHOPE
Mara Jade,75,,74,EMPIRE
Reine Jamillia,76,Naboo,75,JEDI
Kanan Jarrus,77,,76,NEWHOPE
Moff Tiaan Jerjerrod,78,,77,EMPIRE
Dexter Jettster,79,,78,JEDI
Jira,80,,79,NEWHOPE
Zett Jukassa,81,,80,EMPIRE
Docteur Harter Kalonia,82,,81,JEDI
Maz Kanata,83,,82,NEWHOPE
Kir Kanos,84,,83,EMPIRE
Volfe Karkko,85,,84,JEDI
Talon Karrde,86,,85,NEWHOPE
Kyle Katarn,87,,86,EMPIRE
Agen Kolar,88,,87,JEDI
Plo Koon,89,,88,NEWHOPE
Eeth Koth,90,,89,EMPIRE
Labria,91,,90,JEDI
Tsavong Lah,92,,91,NEWHOPE
Owen et BeruNote 5 Lars,93,,92,EMPIRE
Cliegg Lars,94,Tatooine,93,JEDI
Tasu Leech,95,,94,NEWHOPE
