human_id,episode_id
20,1
21,2
22,3
23,1
24,2
25,3
26,1
27,2
28,3
29,1
30,2
31,3
32,1
33,2
34,3
35,1
36,2
37,3
38,1
39,2
40,3
41,1
42,2
43,3
44,1
45,2
46,3
47,1
48,2
49,3
50,1
51,2
52,3
53,1
54,2
55,3
56,1
57,2
58,3
59,1
60,2
61,3
62,1
63,2
64,3
65,1
66,2
67,3
68,1
69,2
70,3
71,1
72,2
73,3
74,1
75,2
76,3
77,1
78,2
79,3
80,1
81,2
82,3
83,1
84,2
85,3
86,1
87,2
88,3
89,1
90,2
91,3
92,1
93,2
94,3
95,1
96,2
97,3
98,1
99,2
100,3
101,1
102,2
103,3
104,1
105,2
106,3
107,1
108,2
109,3
110,1
111,2
112,3
113,1
114,2
115,3
116,1
117,2
118,3
119,1
120,2
121,3
122,1
123,2
124,3
125,1
126,2
127,3
128,1
129,2
130,3
131,1
132,2
133,3
134,1
135,2
136,3
137,1
138,2
139,3
140,1
141,2
142,3
143,1
144,2
145,3
146,1
147,2
148,3
149,1
150,2
151,3
152,1
153,2
154,3
155,1
156,2
157,3
158,1
159,2
160,3
161,1
162,2
163,3
164,1
165,2
166,3
167,1
168,2
169,3
170,1
171,2
172,3
173,1
174,2
175,3
176,1
177,2
178,3
179,1
180,2
181,3
182,1
183,2
184,3
185,1
186,2
187,3
188,1
189,2
190,3
191,1
192,2
193,3
194,1
195,2
196,3
197,1
198,2
199,3
200,1
201,2
202,3
203,1
204,2
205,3
206,1
207,2
208,3
209,1
210,2
211,3
212,1
213,1
214,2
215,3
216,1
217,2
218,3
219,1
220,2
221,3
222,1
223,2
224,3
225,1
226,2
227,3
228,1
229,2
230,3
231,1
