id,friend_id
115,91
15,163
15,186
15,56
153,163
153,186
153,56
154,186
154,214
154,231
155,180
155,181
156,96
157,155
157,28
157,181
161,181
161,81
173,81
19,181
19,37
28,180
28,181
28,6
49,155
49,28
49,81
73,81
75,186
75,214
75,53
87,96
87,112
87,180
87,44
96,87
96,180
96,181
96,214
10,6
101,96
101,181
101,186
101,31
103,96
103,180
103,181
103,6
104,180
105,163
105,186
105,56
107,136
107,29
108,186
11,214
11,44
110,214
110,44
111,181
111,81
112,87
112,96
113,160
113,186
113,81
114,160
114,186
114,53
114,81
116,96
117,162
117,37
117,56
118,181
118,186
118,81
121,214
122,181
122,186
124,6
125,214
126,19
126,91
127,214
128,129
129,29
13,96
13,181
130,96
130,180
130,213
131,87
131,96
132,186
132,59
132,81
136,180
136,181
136,186
136,6
137,214
138,214
138,44
14,96
140,180
143,204
144,77
145,56
147,214
149,163
149,56
150,214
150,44
159,160
159,186
159,81
160,81
162,181
162,186
163,56
164,180
164,194
164,54
165,181
165,186
165,214
165,81
167,180
169,96
17,180
170,181
170,37
171,114
171,160
171,186
171,53
171,81
174,180
179,180
179,53
18,181
18,81
180,96
180,214
181,180
181,6
181,82
182,87
182,104
182,221
183,96
184,64
184,81
185,181
185,186
186,181
186,81
187,181
187,186
188,181
190,96
191,214
193,214
193,44
194,180
195,229
195,31
20,6
200,123
201,9
202,181
202,81
203,186
207,214
207,44
209,54
210,91
211,6
212,96
213,96
213,130
213,180
214,180
214,181
214,6
216,214
217,181
217,185
218,44
219,180
22,87
221,87
221,182
222,96
222,190
223,96
223,180
223,54
223,6
227,214
228,96
228,180
229,181
229,44
230,186
230,77
231,186
231,214
25,179
25,186
25,214
25,53
29,186
30,204
30,82
31,186
32,181
33,29
34,181
34,81
35,186
35,81
36,96
36,181
36,186
36,31
39,181
4,61
40,6
43,180
44,87
44,96
44,180
44,229
45,180
45,214
46,181
50,96
50,13
50,181
51,150
53,181
53,186
53,54
53,81
54,225
54,44
56,163
56,186
56,37
58,180
59,181
59,81
6,180
60,136
61,66
62,155
62,28
63,87
63,22
64,114
64,160
64,186
64,81
65,180
65,186
65,81
66,96
66,44
67,91
68,214
68,44
70,214
70,68
71,214
71,44
76,214
76,84
78,186
79,56
79,91
8,135
8,214
80,186
80,81
81,181
81,186
82,181
84,27
85,214
86,96
88,180
88,221
89,214
91,163
91,181
91,186
91,56
95,136
95,181
